Valid Routes = {
"Hyderabad": ["Guntur", "Vijayawada"],
"Bangalore": ["Tirupati", "Chittoor"],
"Tirupati": ["Bangalore"],
"Chittoor": ["Bangalore"],
"Vijayawada": ["Hyderabad"],
"Guntur": ["Hyderabad"]
}

bus schedule

Date	Service Number	Service ID	Sector
2025-03-05	HYD-VJY-AC-SE-0415	55	H-V
2025-03-05	HYD-VJY-AC-SE-0530	47	H-V
2025-03-05	HYD-VJY-AC-SE-0900	76	H-V
2025-03-05	HYD-VJY-AC-SE-1010	39	H-V
2025-03-05	HYD-VJY-AC-SE-1100	49	H-V
2025-03-05	HYD-VJY-AC-SE-1140	40	H-V
2025-03-05	HYD-VJY-AC-SE-1500	58	H-V
2025-03-05	HYD-VJY-AC-SE-2110	61	H-V
2025-03-05	HYD-VJY-AC-SE-2200	48	H-V
2025-03-05	HYD-VJY-AC-SE-2220	37	H-V
2025-03-05	HYD-VJY-AC-SE-2325	38	H-V
2025-03-05	VJY-HYD-AC-SE-0430	59	V-H
2025-03-05	VJY-HYD-AC-SE-0900	60	V-H
2025-03-05	VJY-HYD-AC-SE-1000	41	V-H
2025-03-05	VJY-HYD-AC-SE-1050	53	V-H
2025-03-05	VJY-HYD-AC-SE-11300R	100	V-H
2025-03-05	VJY-HYD-AC-SE-1600	50	V-H
2025-03-05	VJY-HYD-AC-SE-1700	51	V-H
2025-03-05	VJY-HYD-AC-SE-2130	57	V-H
2025-03-05	VJY-HYD-AC-SE-2230	43	V-H
2025-03-05	VJY-HYD-AC-SE-2300	44	V-H
2025-03-05	VJY-HYD-AC-SE-2330	52	V-H
2025-03-06	HYD-VJY-AC-SE-0415	55	H-V
2025-03-06	HYD-VJY-AC-SE-0530	47	H-V
2025-03-06	HYD-VJY-AC-SE-0900	76	H-V
2025-03-06	HYD-VJY-AC-SE-1010	39	H-V
2025-03-06	HYD-VJY-AC-SE-1100	49	H-V
2025-03-06	HYD-VJY-AC-SE-1140	40	H-V
2025-03-06	HYD-VJY-AC-SE-1500	58	H-V
2025-03-06	HYD-VJY-AC-SE-2110	61	H-V
2025-03-06	HYD-VJY-AC-SE-2200	48	H-V
2025-03-06	HYD-VJY-AC-SE-2220	37	H-V
2025-03-06	HYD-VJY-AC-SE-2325	38	H-V
2025-03-06	VJY-HYD-AC-SE-0430	59	V-H
2025-03-06	VJY-HYD-AC-SE-0900	60	V-H
2025-03-06	VJY-HYD-AC-SE-1000	41	V-H
2025-03-06	VJY-HYD-AC-SE-1050	53	V-H
2025-03-06	VJY-HYD-AC-SE-11300R	100	V-H
2025-03-06	VJY-HYD-AC-SE-1600	50	V-H
2025-03-06	VJY-HYD-AC-SE-1700	51	V-H
2025-03-06	VJY-HYD-AC-SE-2130	57	V-H
2025-03-06	VJY-HYD-AC-SE-2230	43	V-H
2025-03-06	VJY-HYD-AC-SE-2300	44	V-H
2025-03-06	VJY-HYD-AC-SE-2330	52	V-H
2025-03-07	HYD-VJY-AC-SE-0415	55	H-V
2025-03-07	HYD-VJY-AC-SE-0530	47	H-V
2025-03-07	HYD-VJY-AC-SE-0900	76	H-V
2025-03-07	HYD-VJY-AC-SE-1010	39	H-V
2025-03-07	HYD-VJY-AC-SE-1100	49	H-V
2025-03-07	HYD-VJY-AC-SE-1140	40	H-V
2025-03-07	HYD-VJY-AC-SE-15300R	119	H-V
2025-03-07	HYD-VJY-AC-SE-2110	61	H-V
2025-03-07	HYD-VJY-AC-SE-2200	48	H-V
2025-03-07	HYD-VJY-AC-SE-2220	37	H-V
2025-03-07	HYD-VJY-AC-SE-2325	38	H-V
2025-03-07	VJY-HYD-AC-SE-0430	59	V-H
2025-03-07	VJY-HYD-AC-SE-0900	60	V-H
2025-03-07	VJY-HYD-AC-SE-1000	41	V-H
2025-03-07	VJY-HYD-AC-SE-1050	53	V-H
2025-03-07	VJY-HYD-AC-SE-11300R	100	V-H
2025-03-07	VJY-HYD-AC-SE-1600	50	V-H
2025-03-07	VJY-HYD-AC-SE-1700	51	V-H
2025-03-07	VJY-HYD-AC-SE-2130	57	V-H
2025-03-07	VJY-HYD-AC-SE-2230	43	V-H
2025-03-07	VJY-HYD-AC-SE-2300	44	V-H
2025-03-07	VJY-HYD-AC-SE-2330	52	V-H
2025-03-08	HYD-VJY-AC-SE-0415	55	H-V
2025-03-08	HYD-VJY-AC-SE-0530	47	H-V
2025-03-08	HYD-VJY-AC-SE-0900	76	H-V
2025-03-08	HYD-VJY-AC-SE-1010	39	H-V
2025-03-08	HYD-VJY-AC-SE-1100	49	H-V
2025-03-08	HYD-VJY-AC-SE-1140	40	H-V
2025-03-08	HYD-VJY-AC-SE-1500	58	H-V
2025-03-08	HYD-VJY-AC-SE-2110	61	H-V
2025-03-08	HYD-VJY-AC-SE-2200	48	H-V
2025-03-08	HYD-VJY-AC-SE-2220	37	H-V
2025-03-08	HYD-VJY-AC-SE-2325	38	H-V
2025-03-08	VJY-HYD-AC-SE-0430	59	V-H
2025-03-08	VJY-HYD-AC-SE-0900	60	V-H
2025-03-08	VJY-HYD-AC-SE-1000	41	V-H
2025-03-08	VJY-HYD-AC-SE-1050	53	V-H
2025-03-08	VJY-HYD-AC-SE-11300R	100	V-H
2025-03-08	VJY-HYD-AC-SE-1600	50	V-H
2025-03-08	VJY-HYD-AC-SE-1700	51	V-H
2025-03-08	VJY-HYD-AC-SE-2130	57	V-H
2025-03-08	VJY-HYD-AC-SE-2230	43	V-H
2025-03-08	VJY-HYD-AC-SE-2300	44	V-H
2025-03-08	VJY-HYD-AC-SE-2330	52	V-H
2025-03-09	HVD-VJY-AC-SE-0415	55	H-V
2025-03-09	HVD-VJY-AC-SE-0530	47	H-V
2025-03-09	HVD-VJY-AC-SE-0900	76	H-V
2025-03-09	HVD-VJY-AC-SE-1010	39	H-V
2025-03-09	HVD-VJY-AC-SE-1100	49	H-V
2025-03-09	HVD-VJY-AC-SE-1140	40	H-V
2025-03-09	HVD-VJY-AC-SE-1500	58	H-V
2025-03-09	HVD-VJY-AC-SE-2110	61	H-V
2025-03-09	HVD-VJY-AC-SE-2200	48	H-V
2025-03-09	HVD-VJY-AC-SE-2220	37	H-V
2025-03-09	HVD-VJY-AC-SE-2325	38	H-V
2025-03-09	VJY-HYD-AC-SE-0430	59	V-H
2025-03-09	VJY-HYD-AC-SE-0900	60	V-H
2025-03-09	VJY-HYD-AC-SE-1000	41	V-H
2025-03-09	VJY-HYD-AC-SE-1050	53	V-H
2025-03-09	VJY-HYD-AC-SE-11300R	100	V-H
2025-03-09	VJY-HYD-AC-SE-1600	50	V-H
2025-03-09	VJY-HYD-AC-SE-1700	51	V-H
2025-03-09	VJY-HYD-AC-SE-2130	57	V-H
2025-03-09	VJY-HYD-AC-SE-2230	43	V-H
2025-03-09	VJY-HYD-AC-SE-2300	44	V-H
2025-03-09	VJY-HYD-AC-SE-2530	52	V-H
2025-03-10	HVD-VJY-AC-SE-0400MD	99	H-V
2025-03-10	HVD-VJY-AC-SE-0530	47	H-V
2025-03-10	HVD-VJY-AC-SE-0900	76	H-V
2025-03-10	HVD-VJY-AC-SE-1010	39	H-V
2025-03-10	HVD-VJY-AC-SE-1100	49	H-V
2025-03-10	HVD-VJY-AC-SE-1140	40	H-V
2025-03-10	HVD-VJY-AC-SE-1500	58	H-V
2025-03-10	HVD-VJY-AC-SE-2110	61	H-V
2025-03-10	HVD-VJY-AC-SE-2200	48	H-V
2025-03-10	HVD-VJY-AC-SE-2220	37	H-V
2025-03-10	HVD-VJY-AC-SE-2325	38	H-V
2025-03-10	VJY-HVD-AC-SE-0430	59	V-H
2025-03-10	VJY-HVD-AC-SE-0900	60	V-H
2025-03-10	VJY-HVD-AC-SE-1000	41	V-H
2025-03-10	VJY-HYD-AC-SE-1050	53	V-H
2025-03-10	VJY-HVD-AC-SE-11300R	100	V-H
2025-03-10	VJY-HYD-AC-SE-1600	50	V-H
2025-03-10	VJY-HYD-AC-SE-1700	51	V-H
2025-03-10	VJY-HYD-AC-SE-2130	57	V-H
2025-03-10	VJY-HYD-AC-SE-2230	43	V-H
2025-03-10	VJY-HYD-AC-SE-2300	44	V-H
2025-03-10	VJY-HYD-AC-SE-2330	52	V-H
2025-03-11	HYD-VJY-AC-SE-0415	55	H-V
2025-03-11	HYD-VJY-AC-SE-0530	47	H-V
2025-03-11	HYD-VJY-AC-SE-0900	76	H-V
2025-03-11	HYD-VJY-AC-SE-1010	39	H-V
2025-03-11	HYD-VJY-AC-SE-1100	49	H-V
2025-03-11	HYD-VJY-AC-SE-1140	40	H-V
2025-03-11	HYD-VJY-AC-SE-1500	58	H-V
2025-03-11	HYD-VJY-AC-SE-2110	61	H-V
2025-03-11	HYD-VJY-AC-SE-2200	48	H-V
2025-03-11	HYD-VJY-AC-SE-2220	37	H-V
2025-03-11	HYD-VJY-AC-SE-2325	38	H-V
2025-03-11	VJY-HYD-AC-SE-0430	59	V-H
2025-03-11	VJY-HYD-AC-SE-0900	60	V-H
2025-03-11	VJY-HYD-AC-SE-1000	41	V-H
2025-03-11	VJY-HYD-AC-SE-1050	53	V-H
2025-03-11	VJY-HYD-AC-SE-11300R	100	V-H
2025-03-11	VJY-HYD-AC-SE-1600	50	V-H
2025-03-11	VJY-HYD-AC-SE-1700	51	V-H
2025-03-11	VJY-HYD-AC-SE-2130	57	V-H
2025-03-11	VJY-HYD-AC-SE-2230	43	V-H
2025-03-11	VJY-HYD-AC-SE-2300	44	V-H
2025-03-11	VJY-HYD-AC-SE-2330	52	V-H
2025-03-12	HYD-VJY-AC-SE-0415	55	H-V
2025-03-12	HYD-VJY-AC-SE-0530	47	H-V
2025-03-12	HYD-VJY-AC-SE-0900	76	H-V
2025-03-12	HYD-VJY-AC-SE-1010	39	H-V
2025-03-12	HYD-VJY-AC-SE-1100	49	H-V
2025-03-12	HYD-VJY-AC-SE-1140	40	H-V
2025-03-12	HYD-VJY-AC-SE-1500	58	H-V
2025-03-12	HYD-VJY-AC-SE-2110	61	H-V
2025-03-12	HYD-VJY-AC-SE-2200	48	H-V
2025-03-12	HYD-VJY-AC-SE-2220	37	H-V
2025-03-12	HYD-VJY-AC-SE-2325	38	H-V
2025-03-12	VJY-HYD-AC-SE-0430	59	V-H
2025-03-12	VJY-HYD-AC-SE-0900	60	V-H
2025-03-12	VJY-HYD-AC-SE-1000	41	V-H
2025-03-12	VJY-HYD-AC-SE-1050	53	V-H
2025-03-12	VJY-HYD-AC-SE-11300R	100	V-H
2025-03-12	VJY-HYD-AC-SE-1600	50	V-H
2025-03-12	VJY-HYD-AC-SE-1700	51	V-H
2025-03-12	VJY-HYD-AC-SE-2130	57	V-H
2025-03-12	VJY-HYD-AC-SE-2230	43	V-H
2025-03-12	VJY-HYD-AC-SE-2300	44	V-H
2025-03-12	VJY-HYD-AC-SE-2330	52	V-H
2025-03-13	HYD-VJY-AC-SE-0415	55	H-V
2025-03-13	HYD-VJY-AC-SE-0530	47	H-V
2025-03-13	HYD-VJY-AC-SE-0900	76	H-V
2025-03-13	HYD-VJY-AC-SE-1010	39	H-V
2025-03-13	HYD-VJY-AC-SE-1100	49	H-V
2025-03-13	HYD-VJY-AC-SE-1140	40	H-V
2025-03-13	HYD-VJY-AC-SE-1500	58	H-V
2025-03-13	HYD-VJY-AC-SE-2110	61	H-V
2025-03-13	HYD-VJY-AC-SE-2200	48	H-V
2025-03-13	HYD-VJY-AC-SE-2220	37	H-V
2025-03-13	HYD-VJY-AC-SE-2325	38	H-V
2025-03-13	VJY-HYD-AC-SE-0430	59	V-H
2025-03-13	VJY-HYD-AC-SE-0900	60	V-H
2025-03-13	VJY-HYD-AC-SE-1000	41	V-H
2025-03-13	VJY-HYD-AC-SE-1050	53	V-H
2025-03-13	VJY-HYD-AC-SE-11300R	100	V-H
2025-03-13	VJY-HYD-AC-SE-1600	50	V-H
2025-03-13	VJY-HYD-AC-SE-1700	51	V-H
2025-03-13	VJY-HYD-AC-SE-2130	57	V-H
2025-03-13	VJY-HYD-AC-SE-2230	43	V-H
2025-03-13	VJY-HYD-AC-SE-2300	44	V-H
2025-03-13	VJY-HYD-AC-SE-2330	52	V-H
2025-03-14	HYD-VJY-AC-SE-0415	55	H-V
2025-03-14	HYD-VJY-AC-SE-0530	47	H-V
2025-03-14	HYD-VJY-AC-SE-0900	76	H-V
2025-03-14	HYD-VJY-AC-SE-1010	39	H-V
2025-03-14	HYD-VJY-AC-SE-1100	49	H-V
2025-03-14	HYD-VJY-AC-SE-1140	40	H-V
2025-03-14	HYD-VJY-AC-SE-15300R	119	H-V
2025-03-14	HYD-VJY-AC-SE-2110	61	H-V
2025-03-14	HYD-VJY-AC-SE-2200	48	H-V
2025-03-14	HYD-VJY-AC-SE-2220	37	H-V
2025-03-14	HYD-VJY-AC-SE-2325	38	H-V
2025-03-14	VJY-HYD-AC-SE-0430	59	V-H
2025-03-14	VJY-HYD-AC-SE-0900	60	V-H
2025-03-14	VJY-HYD-AC-SE-1000	41	V-H
2025-03-14	VJY-HYD-AC-SE-1050	53	V-H
2025-03-14	VJY-HYD-AC-SE-11300R	100	V-H
2025-03-14	VJY-HYD-AC-SE-1600	50	V-H
2025-03-14	VJY-HYD-AC-SE-1700	51	V-H
2025-03-14	VJY-HYD-AC-SE-2130	57	V-H
2025-03-14	VJY-HYD-AC-SE-2230	43	V-H
2025-03-14	VJY-HYD-AC-SE-2300	44	V-H
2025-03-14	VJY-HYD-AC-SE-2330	52	V-H
2025-03-15	HYD-VJY-AC-SE-0415	55	H-V
2025-03-15	HYD-VJY-AC-SE-0530	47	H-V
2025-03-15	HYD-VJY-AC-SE-0900	76	H-V
2025-03-15	HYD-VJY-AC-SE-1010	39	H-V
2025-03-15	HYD-VJY-AC-SE-1100	49	H-V
2025-03-15	HYD-VJY-AC-SE-1140	40	H-V
2025-03-15	HYD-VJY-AC-SE-1500	58	H-V
2025-03-15	HYD-VJY-AC-SE-2110	61	H-V
2025-03-15	HYD-VJY-AC-SE-2200	48	H-V
2025-03-15	HYD-VJY-AC-SE-2220	37	H-V
2025-03-15	HYD-VJY-AC-SE-2325	38	H-V
2025-03-15	VJY-HYD-AC-SE-0430	59	V-H
2025-03-15	VJY-HYD-AC-SE-0900	60	V-H
2025-03-15	VJY-HYD-AC-SE-1000	41	V-H
2025-03-15	VJY-HYD-AC-SE-1050	53	V-H
2025-03-15	VJY-HYD-AC-SE-11300R	100	V-H
2025-03-15	VJY-HYD-AC-SE-1600	50	V-H
2025-03-15	VJY-HYD-AC-SE-1700	51	V-H
2025-03-15	VJY-HYD-AC-SE-2130	57	V-H
2025-03-15	VJY-HYD-AC-SE-2230	43	V-H
2025-03-15	VJY-HYD-AC-SE-2300	44	V-H
2025-03-15	VJY-HYD-AC-SE-2330	52	V-H
2025-03-16	HYD-VJY-AC-SE-0415	55	H-V
2025-03-16	HYD-VJY-AC-SE-0530	47	H-V
2025-03-16	HYD-VJY-AC-SE-0900	76	H-V
2025-03-16	HYD-VJY-AC-SE-1010	39	H-V
2025-03-16	HYD-VJY-AC-SE-1100	49	H-V
2025-03-16	HYD-VJY-AC-SE-1140	40	H-V
2025-03-16	HYD-VJY-AC-SE-1500	58	H-V
2025-03-16	HYD-VJY-AC-SE-2110	61	H-V
2025-03-16	HYD-VJY-AC-SE-2200	48	H-V
2025-03-16	HYD-VJY-AC-SE-2220	37	H-V
2025-03-16	HYD-VJY-AC-SE-2325	38	H-V
2025-03-16	VJY-HYD-AC-SE-0430	59	V-H
2025-03-16	VJY-HYD-AC-SE-0900	60	V-H
2025-03-16	VJY-HYD-AC-SE-1000	41	V-H
2025-03-16	VJY-HYD-AC-SE-1050	53	V-H
2025-03-16	VJY-HYD-AC-SE-11300R	100	V-H
2025-03-16	VJY-HYD-AC-SE-1600	50	V-H
2025-03-16	VJY-HYD-AC-SE-1700	51	V-H
2025-03-16	VJY-HYD-AC-SE-2130	57	V-H
2025-03-16	VJY-HYD-AC-SE-2230	43	V-H
2025-03-16	VJY-HYD-AC-SE-2300	44	V-H
2025-03-16	VJY-HYD-AC-SE-2330	52	V-H
2025-03-17	HYD-VJY-AC-SE-0400MD	99	H-V
2025-03-17	HYD-VJY-AC-SE-0530	47	H-V
2025-03-17	HYD-VJY-AC-SE-0900	76	H-V
2025-03-17	HYD-VJY-AC-SE-1010	39	H-V
2025-03-17	HYD-VJY-AC-SE-1100	49	H-V
2025-03-17	HYD-VJY-AC-SE-1140	40	H-V
2025-03-17	HYD-VJY-AC-SE-1500	58	H-V
2025-03-17	HYD-VJY-AC-SE-2110	61	H-V
2025-03-17	HYD-VJY-AC-SE-2200	48	H-V
2025-03-17	HYD-VJY-AC-SE-2220	37	H-V
2025-03-17	HYD-VJY-AC-SE-2325	38	H-V
2025-03-17	VJY-HYD-AC-SE-0430	59	V-H
2025-03-17	VJY-HYD-AC-SE-0900	60	V-H
2025-03-17	VJY-HYD-AC-SE-1000	41	V-H
2025-03-17	VJY-HYD-AC-SE-1050	53	V-H
2025-03-17	VJY-HYD-AC-SE-11300R	100	V-H
2025-03-17	VJY-HYD-AC-SE-1600	50	V-H
2025-03-17	VJY-HYD-AC-SE-1700	51	V-H
2025-03-17	VJY-HYD-AC-SE-2130	57	V-H
2025-03-17	VJY-HYD-AC-SE-2230	43	V-H
2025-03-17	VJY-HYD-AC-SE-2300	44	V-H
2025-03-17	VJY-HYD-AC-SE-2330	52	V-H
2025-03-18	HYD-VJY-AC-SE-0415	55	H-V
2025-03-18	HYD-VJY-AC-SE-0530	47	H-V
2025-03-18	HYD-VJY-AC-SE-0900	76	H-V
2025-03-18	HYD-VJY-AC-SE-1010	39	H-V
2025-03-18	HYD-VJY-AC-SE-1100	49	H-V
